Provincia;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Álava;22.134;23.917;25.679;26.841;28.472;30.538;33.477;35.813;37.165;34.115;33.818;33.921;33.082;33.371;34.287;35.074;36.915;37.808;38.711;38.631;35.283;35.924
Albacete;12.032;13.175;14.190;14.595;15.409;16.415;17.444;18.122;18.955;18.798;18.691;18.283;17.836;17.802;17.691;18.884;19.370;20.549;21.365;22.251;20.707;22.932
Alicante;14.140;15.391;15.868;16.400;17.216;18.054;18.901;19.313;19.384;18.144;17.881;17.210;16.425;16.346;16.875;17.635;18.474;19.327;19.798;20.263;18.339;20.334
Almería;15.192;16.053;16.970;17.668;18.272;19.070;19.852;21.034;20.995;19.151;18.616;17.294;17.031;16.759;17.515;18.724;20.196;21.467;21.567;22.268;20.335;20.292
Ávila;12.532;13.069;13.561;14.157;15.269;15.706;16.832;18.203;18.540;17.999;17.998;18.087;17.895;17.565;17.707;18.220;18.459;19.225;20.036;20.760;19.336;20.409
Badajoz;10.472;11.198;11.917;12.738;13.280;14.745;15.534;16.723;17.475;16.896;16.891;16.545;15.662;15.742;15.710;16.731;17.297;18.349;18.706;19.102;17.844;19.029
Balears;20.045;21.350;21.837;22.109;22.975;24.054;25.259;26.092;26.377;24.832;24.638;24.324;23.810;23.719;24.454;25.732;26.922;28.001;28.906;29.458;22.611;25.807
Barcelona;19.380;20.798;21.513;22.485;23.586;25.117;26.688;28.112;28.335;27.016;27.119;26.698;25.961;25.975;26.628;27.849;28.906;30.188;31.073;31.903;28.432;30.588
Burgos;17.824;18.608;19.557;20.855;22.161;23.538;24.580;25.952;26.802;25.414;25.575;25.762;25.468;24.696;24.708;25.585;26.648;28.147;29.444;29.798;26.984;28.841
Cáceres;10.520;11.333;12.137;12.841;14.144;14.672;15.736;16.673;16.909;16.489;17.049;16.585;16.442;16.511;16.633;17.435;18.158;19.461;20.499;21.163;19.222;22.653
Cádiz;12.147;12.979;13.718;14.409;15.566;16.455;17.473;18.149;18.128;16.899;17.054;16.881;16.196;15.843;15.703;16.255;16.784;17.584;18.079;18.767;16.418;18.313
Castellón;18.402;19.504;20.011;20.407;20.808;22.550;23.992;23.807;23.492;22.257;22.405;22.764;21.469;21.644;22.025;23.661;24.744;26.989;27.201;27.746;24.497;26.829
Ceuta;13.367;13.813;14.680;15.593;16.358;17.135;18.107;19.051;19.584;19.077;18.532;17.986;17.094;17.229;17.123;17.757;18.155;18.262;18.923;19.577;18.184;19.661
Ciudad_Real;12.812;13.581;14.640;15.922;16.994;17.523;18.651;19.950;20.369;19.341;19.611;19.472;18.894;18.416;18.087;19.744;20.435;21.349;21.974;22.264;20.680;21.334
Córdoba;10.749;11.378;12.006;13.095;14.160;14.955;16.267;17.401;17.529;16.816;16.641;16.403;15.479;15.710;15.846;16.862;17.197;17.967;18.275;18.225;16.851;18.710
Coruña_A;12.722;13.634;14.825;15.812;16.963;18.336;19.678;21.260;22.051;21.594;21.857;21.360;20.548;20.621;20.607;21.843;22.710;23.331;24.319;24.840;22.743;24.627
Cuenca;12.123;12.932;13.638;14.518;16.023;16.987;18.350;19.812;19.770;18.959;19.587;19.863;19.540;19.566;19.360;20.663;21.288;22.164;23.222;23.241;21.672;25.348
Girona;19.517;21.408;22.806;23.554;24.600;25.449;27.504;28.130;27.846;26.596;26.772;26.168;25.545;25.202;25.692;26.721;27.792;27.361;27.864;28.643;25.331;29.732
Granada;10.604;11.482;12.505;13.362;14.112;14.830;16.403;17.286;17.521;16.639;16.431;16.347;15.971;15.877;16.429;17.320;17.368;17.846;18.353;19.091;17.310;18.776
Guadalajara;14.406;15.921;16.959;17.579;17.935;19.263;19.749;20.539;20.965;19.591;19.778;19.687;18.989;18.484;17.691;17.794;18.678;19.985;20.914;21.655;19.815;21.774
Gipuzkoa;20.046;21.983;22.769;23.506;24.922;26.396;28.823;30.538;30.720;29.132;29.564;29.458;28.781;28.283;28.443;29.424;30.149;32.136;32.913;33.900;30.179;34.099
Huelva;13.036;13.366;14.010;14.964;16.195;17.248;17.811;18.331;18.634;17.028;17.351;17.882;17.373;16.185;16.154;17.177;17.877;19.318;20.380;20.329;17.800;20.086
Huesca;16.215;17.992;19.295;20.409;21.296;22.077;23.655;25.828;27.230;25.509;26.084;25.978;24.813;25.616;25.476;25.867;28.169;28.467;28.749;29.643;28.385;30.234
Jaén;10.432;11.288;11.767;13.457;13.981;14.307;15.348;16.530;16.739;16.347;16.388;16.349;14.677;15.780;15.125;17.128;16.916;17.382;18.320;17.840;17.140;18.955
León;13.152;14.196;14.888;15.540;16.281;17.801;18.982;20.032;20.323;20.015;19.926;19.610;19.154;18.654;18.774;19.456;19.604;20.400;21.175;21.919;20.431;23.214
Lleida;19.230;21.049;22.494;23.785;24.398;24.396;26.668;27.890;28.390;27.615;27.544;27.231;27.041;27.463;27.801;29.091;28.316;27.461;28.290;29.386;26.556;29.554
La_Rioja;17.965;19.093;19.791;20.933;21.689;22.851;24.361;25.488;25.954;24.741;25.035;24.748;23.961;23.898;24.586;25.594;25.713;26.585;27.470;28.040;25.654;27.365
Lugo;11.835;12.924;13.497;14.440;15.477;17.359;18.661;19.592;19.968;19.179;19.985;20.083;19.899;20.190;20.939;22.265;22.354;22.468;23.579;23.836;21.271;23.529
Madrid;21.177;22.875;23.904;24.973;26.394;28.020;30.136;31.555;32.125;31.364;31.059;31.147;30.566;30.264;30.776;32.275;33.350;34.592;35.601;36.613;32.853;35.703
Málaga;11.778;13.067;13.587;14.470;15.649;17.026;17.805;18.316;18.480;17.762;17.608;17.160;16.257;16.016;16.398;17.077;17.379;18.189;18.922;19.477;16.913;19.145
Melilla;13.350;13.708;14.478;15.570;16.650;17.256;18.066;18.495;18.800;18.284;17.661;17.144;16.035;15.981;15.999;16.506;16.979;17.051;17.531;18.073;16.776;17.891
Murcia;13.679;14.704;15.531;16.376;17.152;18.178;19.274;20.228;20.636;19.383;19.479;18.957;18.444;18.502;18.606;19.901;20.402;21.128;21.393;22.015;20.108;22.087
Navarra;20.562;21.747;22.841;23.848;25.096;26.586;28.111;29.307;29.937;28.569;28.487;28.279;27.184;27.213;27.704;28.761;29.556;30.631;31.190;32.136;28.987;31.486
Ourense;11.159;12.300;13.398;14.158;14.803;15.909;17.063;17.981;18.819;17.897;18.515;18.766;18.595;18.417;18.508;19.284;20.206;21.035;22.030;23.276;21.005;23.878
Asturias;13.279;14.340;15.188;16.039;17.055;18.482;20.059;21.416;21.987;20.778;20.992;20.706;19.867;19.475;19.588;20.497;20.913;21.897;22.651;23.220;21.069;23.446
Palencia;14.571;15.669;17.422;18.695;19.805;21.133;22.119;24.196;24.788;23.740;23.498;23.715;22.517;22.465;22.414;23.857;25.476;25.054;27.101;27.505;25.293;27.331
