Air Pollutant,Air Pollutant Description,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,Province,Quality,Respiratory_diseases_total,Life_expectancy_total,pib
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,37.381,ug/m3,Traffic,urban,-3.6839,41.6711,865.0,Burgos,BUENA,403.0,80.47,17.824
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,12.899,ug/m3,Industrial,suburban,-0.9133,37.6033,60.0,Murcia,BUENA,1.077,78.42,13.679
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,35.341,ug/m3,Traffic,urban,1.2422,41.1225,23.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,15.752,ug/m3,Background,urban,-1.8521,38.9793,686.0,Albacete,BUENA,355.0,79.94,12.032
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,17.067,ug/m3,Background,suburban,-4.0197,39.8689,500.0,Toledo,BUENA,568.0,80.22,13.063
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,17.954,ug/m3,Traffic,urban,1.7213,41.219,12.0,Barcelona,BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.819,ug/m3,Traffic,urban,-1.9607,43.322,23.0,Gipuzkoa,BUENA,672.0,79.91,20.046
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,18.211,ug/m3,Background,suburban,-0.6839,38.2128,86.0,Alicante/Alacant,BUENA,1.221,78.89,14.14
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.103,ug/m3,Traffic,urban,-2.9352,43.2675,33.0,Bizkaia,BUENA,1.065,79.3,18.605
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,36.626,ug/m3,Traffic,urban,-6.6003,42.5533,541.0,Leon,BUENA,700.0,80.34,13.152
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,42.521,ug/m3,Traffic,urban,-4.4258,36.73,18.0,Malaga,RAZONABLEMENTE BUENA,1.001,78.0,11.778
