Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Province
Spain,NET_ES131A,Ayto Madrid,ES0125A,VILLAVERDE,SP_28079017_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1991,80.639,ug/m3,94.77,,Background,urban,-3.705,40.3469,593.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0141A,,SPO-ES0141A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1991,85.108,ug/m3,96.08,,Traffic,urban,-3.7042,40.4472,704.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES209A,CCAA Cataluña,ES0691A,Barcelona (el Poblenou),SP_08019004_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1991,43.283,ug/m3,83.4,,Traffic,urban,2.2045,41.4039,3.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
Spain,NET_ES209A,CCAA Cataluña,ES0584A,Montcada i Reixac (pl. de Lluís Companys),SP_08125002_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1991,54.271,ug/m3,88.13,,Industrial,suburban,2.1883,41.482,34.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
Spain,,,ES0114A,,SPO-ES0114A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1991,71.633,ug/m3,95.57,,Traffic,urban,-3.6919,40.4097,629.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0596A,,SPO-ES0596A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1991,64.644,ug/m3,83.82,,Traffic,urban,2.1483,41.4019,75.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
Spain,,,ES0141A,,SPO-ES0141A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1992,88.224,ug/m3,98.05,,Traffic,urban,-3.7042,40.4472,704.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES209A,CCAA Cataluña,ES0691A,Barcelona (el Poblenou),SP_08019004_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1992,39.981,ug/m3,85.77,,Traffic,urban,2.2045,41.4039,3.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
Spain,,,ES0596A,,SPO-ES0596A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1992,66.894,ug/m3,90.28,,Traffic,urban,2.1483,41.4019,75.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
Spain,NET_ES209A,CCAA Cataluña,ES0584A,Montcada i Reixac (pl. de Lluís Companys),SP_08125002_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1992,54.882,ug/m3,91.45,,Industrial,suburban,2.1883,41.482,34.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
