Causa de muerte;Sexo;Provincias;Periodo;Total
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2023;397
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2022;344
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2021;327
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2020;399
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2019;444
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2018;546
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2017;536
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2016;422
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2015;522
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2014;445
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2013;375
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2012;459
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2011;383
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2010;361
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2009;433
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2008;397
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2007;385
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2006;354
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2005;452
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2004;379
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2003;418
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2002;362
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2001;312
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;2000;355
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1999;371
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1998;375
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1997;335
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1996;335
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1995;308
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1994;382
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1993;357
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1992;329
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1991;306
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1990;309
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1989;345
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1988;259
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1987;299
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1986;283
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1985;303
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1984;302
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1983;324
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1982;251
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1981;327
062-067  X.Enfermedades del sistema respiratorio;Total;02 Albacete;1980;320
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2023;1.565
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2022;1.474
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2021;1.163
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2020;1.385
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2019;1.593
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2018;1.961
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2017;1.698
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2016;1.613
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2015;1.830
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2014;1.355
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2013;1.416
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2012;1.505
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2011;1.313
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2010;1.248
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2009;1.270
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2008;1.372
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2007;1.301
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2006;1.193
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2005;1.408
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2004;1.109
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2003;1.272
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2002;1.299
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2001;1.191
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;2000;1.221
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1999;1.287
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1998;1.106
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1997;1.053
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1996;1.003
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1995;951
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1994;856
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1993;914
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1992;826
