Province;Year;Population
Albacete;2021-01-01;386464
Albacete;2020-01-01;388270
Albacete;2019-01-01;388167
Albacete;2018-01-01;388786
Albacete;2017-01-01;390032
Albacete;2016-01-01;392118
Albacete;2015-01-01;394580
Albacete;2014-01-01;396987
Albacete;2013-01-01;400007
Albacete;2012-01-01;402837
Albacete;2011-01-01;402318
Albacete;2010-01-01;401682
Albacete;2009-01-01;400891
Albacete;2008-01-01;397493
Albacete;2007-01-01;392110
Albacete;2006-01-01;387658
Albacete;2005-01-01;384640
Albacete;2004-01-01;379448
Albacete;2003-01-01;376556
Albacete;2002-01-01;371787
Albacete;2001-01-01;367283
Albacete;2000-01-01;363263
Alicante/Alacant;2021-01-01;1881762
Alicante/Alacant;2020-01-01;1879888
Alicante/Alacant;2019-01-01;1858683
Alicante/Alacant;2018-01-01;1838819
Alicante/Alacant;2017-01-01;1825332
Alicante/Alacant;2016-01-01;1836459
Alicante/Alacant;2015-01-01;1855047
Alicante/Alacant;2014-01-01;1868438
Alicante/Alacant;2013-01-01;1945642
Alicante/Alacant;2012-01-01;1943910
Alicante/Alacant;2011-01-01;1934127
Alicante/Alacant;2010-01-01;1926285
Alicante/Alacant;2009-01-01;1917012
Alicante/Alacant;2008-01-01;1891477
Alicante/Alacant;2007-01-01;1825264
Alicante/Alacant;2006-01-01;1783555
Alicante/Alacant;2005-01-01;1732389
Alicante/Alacant;2004-01-01;1657040
Alicante/Alacant;2003-01-01;1632349
Alicante/Alacant;2002-01-01;1557968
Alicante/Alacant;2001-01-01;1490265
Alicante/Alacant;2000-01-01;1445144
Almeria;2021-01-01;731792
Almeria;2020-01-01;727945
Almeria;2019-01-01;716820
Almeria;2018-01-01;709340
Almeria;2017-01-01;706672
Almeria;2016-01-01;704297
Almeria;2015-01-01;701211
Almeria;2014-01-01;701688
Almeria;2013-01-01;699329
Almeria;2012-01-01;704219
Almeria;2011-01-01;702819
Almeria;2010-01-01;695560
Almeria;2009-01-01;684426
Almeria;2008-01-01;667635
Almeria;2007-01-01;646633
Almeria;2006-01-01;635850
Almeria;2005-01-01;612315
Almeria;2004-01-01;580077
Almeria;2003-01-01;565310
Almeria;2002-01-01;546498
Almeria;2001-01-01;533168
Almeria;2000-01-01;518229
Araba/Alava;2021-01-01;333626
Araba/Alava;2020-01-01;333940
Araba/Alava;2019-01-01;331549
Araba/Alava;2018-01-01;328868
Araba/Alava;2017-01-01;326574
Araba/Alava;2016-01-01;324126
Araba/Alava;2015-01-01;323648
Araba/Alava;2014-01-01;321932
Araba/Alava;2013-01-01;321417
Araba/Alava;2012-01-01;322557
Araba/Alava;2011-01-01;319227
Araba/Alava;2010-01-01;317352
Araba/Alava;2009-01-01;313819
Araba/Alava;2008-01-01;309635
Araba/Alava;2007-01-01;305459
Araba/Alava;2006-01-01;301926
Araba/Alava;2005-01-01;299957
Araba/Alava;2004-01-01;295905
Araba/Alava;2003-01-01;294360
Araba/Alava;2002-01-01;291860
Araba/Alava;2001-01-01;288793
Araba/Alava;2000-01-01;286497
Asturias;2021-01-01;1011792
Asturias;2020-01-01;1018784
Asturias;2019-01-01;1022800
Asturias;2018-01-01;1028244
Asturias;2017-01-01;1034960
Asturias;2016-01-01;1042608
Asturias;2015-01-01;1051229
Asturias;2014-01-01;1061756
Asturias;2013-01-01;1068165
Asturias;2012-01-01;1077360
Asturias;2011-01-01;1081487
Asturias;2010-01-01;1084341
Asturias;2009-01-01;1085289
Asturias;2008-01-01;1080138
Asturias;2007-01-01;1074862
Asturias;2006-01-01;1076896
Asturias;2005-01-01;1076635
Asturias;2004-01-01;1073761
Asturias;2003-01-01;1075381
Asturias;2002-01-01;1073971
Asturias;2001-01-01;1075329
Asturias;2000-01-01;1076567
Avila;2021-01-01;158421
Avila;2020-01-01;157664
Avila;2019-01-01;157640
Avila;2018-01-01;158498
Avila;2017-01-01;160700
Avila;2016-01-01;162514
Avila;2015-01-01;164925
Avila;2014-01-01;167015
Avila;2013-01-01;168825
Avila;2012-01-01;171265
Avila;2011-01-01;172704
Avila;2010-01-01;171896
Avila;2009-01-01;171680
Avila;2008-01-01;171815
Avila;2007-01-01;168638
Avila;2006-01-01;167818
Avila;2005-01-01;167032
Avila;2004-01-01;166108
Avila;2003-01-01;165480
Avila;2002-01-01;165138
