Air Pollutant,Air Pollutant Description,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,Province,Quality
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1991-01-01,80.639,ug/m3,Background,urban,-3.705,40.347,593.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1991-01-01,85.108,ug/m3,Traffic,urban,-3.704,40.447,704.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1991-01-01,43.283,ug/m3,Traffic,urban,2.204,41.404,3.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1991-01-01,54.271,ug/m3,Industrial,suburban,2.188,41.482,34.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1991-01-01,71.633,ug/m3,Traffic,urban,-3.692,40.410,629.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1991-01-01,64.644,ug/m3,Traffic,urban,2.148,41.402,75.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1992-01-01,88.224,ug/m3,Traffic,urban,-3.704,40.447,704.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1992-01-01,39.981,ug/m3,Traffic,urban,2.204,41.404,3.000,Barcelona,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1992-01-01,66.894,ug/m3,Traffic,urban,2.148,41.402,75.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1992-01-01,54.882,ug/m3,Industrial,suburban,2.188,41.482,34.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1992-01-01,76.231,ug/m3,Background,urban,-3.705,40.347,593.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1992-01-01,55.838,ug/m3,Traffic,urban,-3.692,40.410,629.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,63.170,ug/m3,Traffic,urban,-3.712,40.424,637.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,75.436,ug/m3,Traffic,urban,-3.704,40.447,704.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,59.709,ug/m3,Traffic,urban,-3.692,40.410,629.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,60.911,ug/m3,Traffic,urban,-3.689,40.468,729.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,57.333,ug/m3,Background,urban,-3.639,40.440,698.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,73.061,ug/m3,Background,urban,-3.705,40.347,593.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,49.838,ug/m3,Industrial,suburban,2.188,41.482,34.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1993-01-01,57.444,ug/m3,Traffic,urban,2.148,41.402,75.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1995-01-01,59.918,ug/m3,Traffic,urban,-3.689,40.468,729.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1995-01-01,71.632,ug/m3,Traffic,urban,-3.704,40.447,704.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1995-01-01,56.485,ug/m3,Traffic,urban,-3.712,40.424,637.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1995-01-01,65.894,ug/m3,Background,urban,-3.705,40.347,593.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1995-01-01,65.352,ug/m3,Traffic,urban,-3.692,40.410,629.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1995-01-01,54.172,ug/m3,Background,urban,-3.639,40.440,698.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,55.860,ug/m3,Traffic,urban,-3.689,40.468,729.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,69.734,ug/m3,Background,urban,-3.705,40.347,593.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,66.407,ug/m3,Traffic,urban,2.148,41.402,75.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,44.660,ug/m3,Traffic,urban,2.204,41.404,3.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,63.943,ug/m3,Traffic,urban,-3.692,40.410,629.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,76.371,ug/m3,Traffic,urban,-3.704,40.447,704.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,58.212,ug/m3,Traffic,urban,-3.712,40.424,637.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,48.712,ug/m3,Background,urban,-3.639,40.440,698.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1996-01-01,59.655,ug/m3,Industrial,suburban,2.188,41.482,34.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,24.537,ug/m3,Traffic,urban,-5.646,43.538,19.000,Asturias,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,58.085,ug/m3,Traffic,suburban,-3.737,40.303,618.000,Madrid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,31.043,ug/m3,Traffic,urban,-5.928,43.559,12.000,Asturias,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,48.120,ug/m3,Industrial,urban,-4.494,41.923,720.000,Palencia,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,93.127,ug/m3,Traffic,urban,-0.381,39.468,11.000,Valencia,REGULAR
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,58.646,ug/m3,Traffic,urban,-0.388,39.481,11.000,Valencia,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,39.547,ug/m3,Traffic,urban,-2.469,36.844,34.000,Almeria,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,41.898,ug/m3,Industrial,suburban,2.314,41.601,145.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,15.422,ug/m3,Industrial,suburban,-0.233,39.963,163.000,Castellon/Castello,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,48.775,ug/m3,Industrial,urban,-2.884,43.241,125.000,Bizkaia,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,39.200,ug/m3,Industrial,suburban,2.496,41.689,145.000,Barcelona,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,16.526,ug/m3,Background,suburban,-3.749,40.420,645.000,Madrid,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,72.612,ug/m3,Traffic,urban,-4.740,41.632,689.000,Valladolid,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,55.856,ug/m3,Background,urban,-0.411,39.508,39.000,Valencia,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,48.573,ug/m3,Traffic,urban,2.192,41.423,12.000,Barcelona,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,39.860,ug/m3,Industrial,suburban,-5.927,43.579,6.000,Asturias,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,52.000,ug/m3,Traffic,urban,-5.866,43.358,267.000,Asturias,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,51.753,ug/m3,Industrial,suburban,-5.706,43.307,218.000,Asturias,RAZONABLEMENTE BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,21.251,ug/m3,Background,suburban,-0.684,38.213,86.000,Alicante/Alacant,BUENA
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,1997-01-01,69.057,ug/m3,Traffic,urban,-0.916,41.651,212.000,Zaragoza,RAZONABLEMENTE BUENA
