Province;Periodo;Respiratory_diseases_total;Life_expectancy_total
A Coruna;1975-01-01;;72,690
A Coruna;1976-01-01;;73,240
A Coruna;1977-01-01;;73,240
A Coruna;1978-01-01;;73,790
A Coruna;1979-01-01;;74,330
A Coruna;1980-01-01;885,000;75,050
A Coruna;1981-01-01;877,000;74,970
A Coruna;1982-01-01;930,000;75,390
A Coruna;1983-01-01;913,000;75,690
A Coruna;1984-01-01;885,000;75,880
A Coruna;1985-01-01;1006,000;75,760
A Coruna;1986-01-01;958,000;75,750
A Coruna;1987-01-01;766,000;76,190
A Coruna;1988-01-01;931,000;76,100
A Coruna;1989-01-01;967,000;76,490
A Coruna;1990-01-01;1083,000;76,230
A Coruna;1991-01-01;1048,000;76,650
A Coruna;1992-01-01;1047,000;77,040
A Coruna;1993-01-01;1051,000;77,250
A Coruna;1994-01-01;1113,000;77,540
A Coruna;1995-01-01;1192,000;77,670
A Coruna;1996-01-01;1242,000;77,620
A Coruna;1997-01-01;1244,000;78,520
A Coruna;1998-01-01;1223,000;78,860
A Coruna;1999-01-01;1466,000;78,780
A Coruna;2000-01-01;1409,000;79,100
A Coruna;2001-01-01;1249,000;79,750
A Coruna;2002-01-01;1296,000;80,030
A Coruna;2003-01-01;1514,000;79,560
A Coruna;2004-01-01;1309,000;80,330
A Coruna;2005-01-01;1420,000;80,290
A Coruna;2006-01-01;1390,000;80,660
A Coruna;2007-01-01;1518,000;80,540
A Coruna;2008-01-01;1510,000;81,070
A Coruna;2009-01-01;1458,000;81,160
A Coruna;2010-01-01;1477,000;81,690
A Coruna;2011-01-01;1264,000;81,960
A Coruna;2012-01-01;1367,000;82,220
A Coruna;2013-01-01;1291,000;82,340
A Coruna;2014-01-01;1287,000;82,620
A Coruna;2015-01-01;1593,000;82,320
A Coruna;2016-01-01;1330,000;82,530
A Coruna;2017-01-01;1516,000;82,920
A Coruna;2018-01-01;1660,000;82,760
A Coruna;2019-01-01;1408,000;83,350
A Coruna;2020-01-01;1236,000;83,430
A Coruna;2021-01-01;1254,000;83,140
A Coruna;2022-01-01;1455,000;83,110
A Coruna;2023-01-01;1456,000;83,720
Albacete;1975-01-01;;73,130
Albacete;1976-01-01;;73,640
Albacete;1977-01-01;;73,800
Albacete;1978-01-01;;74,340
Albacete;1979-01-01;;74,550
Albacete;1980-01-01;320,000;75,380
Albacete;1981-01-01;327,000;75,530
Albacete;1982-01-01;251,000;76,270
Albacete;1983-01-01;324,000;75,950
Albacete;1984-01-01;302,000;76,550
Albacete;1985-01-01;303,000;76,460
Albacete;1986-01-01;283,000;76,840
Albacete;1987-01-01;299,000;77,230
Albacete;1988-01-01;259,000;77,380
Albacete;1989-01-01;345,000;77,320
Albacete;1990-01-01;309,000;78,330
Albacete;1991-01-01;306,000;77,620
Albacete;1992-01-01;329,000;78,030
Albacete;1993-01-01;357,000;77,690
Albacete;1994-01-01;382,000;78,440
Albacete;1995-01-01;308,000;79,180
Albacete;1996-01-01;335,000;78,880
Albacete;1997-01-01;335,000;79,460
Albacete;1998-01-01;375,000;79,130
Albacete;1999-01-01;371,000;80,090
Albacete;2000-01-01;355,000;79,940
Albacete;2001-01-01;312,000;80,370
Albacete;2002-01-01;362,000;80,620
Albacete;2003-01-01;418,000;80,200
Albacete;2004-01-01;379,000;81,110
Albacete;2005-01-01;452,000;80,870
Albacete;2006-01-01;354,000;81,550
Albacete;2007-01-01;385,000;81,580
Albacete;2008-01-01;397,000;81,840
Albacete;2009-01-01;433,000;81,810
Albacete;2010-01-01;361,000;82,650
Albacete;2011-01-01;383,000;82,430
Albacete;2012-01-01;459,000;82,650
Albacete;2013-01-01;375,000;82,840
Albacete;2014-01-01;445,000;82,660
Albacete;2015-01-01;522,000;82,870
Albacete;2016-01-01;422,000;83,140
Albacete;2017-01-01;536,000;83,470
Albacete;2018-01-01;546,000;83,360
Albacete;2019-01-01;444,000;83,310
Albacete;2020-01-01;399,000;81,360
Albacete;2021-01-01;327,000;83,210
Albacete;2022-01-01;344,000;82,990
Albacete;2023-01-01;397,000;83,610
Alicante/Alacant;1975-01-01;;72,880
Alicante/Alacant;1976-01-01;;73,240
Alicante/Alacant;1977-01-01;;73,310
Alicante/Alacant;1978-01-01;;73,680
Alicante/Alacant;1979-01-01;;74,140
Alicante/Alacant;1980-01-01;764,000;75,030
Alicante/Alacant;1981-01-01;861,000;75,260
Alicante/Alacant;1982-01-01;732,000;75,680
Alicante/Alacant;1983-01-01;921,000;75,930
Alicante/Alacant;1984-01-01;765,000;76,300
Alicante/Alacant;1985-01-01;864,000;76,220
Alicante/Alacant;1986-01-01;915,000;76,210
Alicante/Alacant;1987-01-01;811,000;76,320
Alicante/Alacant;1988-01-01;912,000;76,180
Alicante/Alacant;1989-01-01;911,000;76,300
Alicante/Alacant;1990-01-01;967,000;76,430
Alicante/Alacant;1991-01-01;921,000;77,030
Alicante/Alacant;1992-01-01;826,000;77,390
Alicante/Alacant;1993-01-01;914,000;77,490
Alicante/Alacant;1994-01-01;856,000;77,720
Alicante/Alacant;1995-01-01;951,000;78,040
Alicante/Alacant;1996-01-01;1003,000;78,230
Alicante/Alacant;1997-01-01;1053,000;78,450
Alicante/Alacant;1998-01-01;1106,000;78,770
Alicante/Alacant;1999-01-01;1287,000;78,360
Alicante/Alacant;2000-01-01;1221,000;78,890
Alicante/Alacant;2001-01-01;1191,000;78,920
Alicante/Alacant;2002-01-01;1299,000;79,290
Alicante/Alacant;2003-01-01;1272,000;79,290
Alicante/Alacant;2004-01-01;1109,000;80,080
Alicante/Alacant;2005-01-01;1408,000;80,050
Alicante/Alacant;2006-01-01;1193,000;80,850
Alicante/Alacant;2007-01-01;1301,000;80,920
Alicante/Alacant;2008-01-01;1372,000;81,260
Alicante/Alacant;2009-01-01;1270,000;81,910
Alicante/Alacant;2010-01-01;1248,000;82,090
Alicante/Alacant;2011-01-01;1313,000;82,170
Alicante/Alacant;2012-01-01;1505,000;81,990
Alicante/Alacant;2013-01-01;1416,000;82,570
Alicante/Alacant;2014-01-01;1355,000;82,660
Alicante/Alacant;2015-01-01;1830,000;82,510
Alicante/Alacant;2016-01-01;1613,000;82,850
Alicante/Alacant;2017-01-01;1698,000;82,680
Alicante/Alacant;2018-01-01;1961,000;82,690
Alicante/Alacant;2019-01-01;1593,000;83,090
Alicante/Alacant;2020-01-01;1385,000;82,420
Alicante/Alacant;2021-01-01;1163,000;82,210
Alicante/Alacant;2022-01-01;1474,000;82,620
Alicante/Alacant;2023-01-01;1565,000;83,210
Almeria;1975-01-01;;72,680
Almeria;1976-01-01;;73,210
Almeria;1977-01-01;;73,890
Almeria;1978-01-01;;73,190
Almeria;1979-01-01;;74,010
Almeria;1980-01-01;306,000;74,990
Almeria;1981-01-01;310,000;74,750
Almeria;1982-01-01;249,000;76,040
Almeria;1983-01-01;327,000;75,810
Almeria;1984-01-01;253,000;76,720
Almeria;1985-01-01;321,000;76,590
Almeria;1986-01-01;322,000;76,140
Almeria;1987-01-01;316,000;76,200
Almeria;1988-01-01;309,000;76,090
Almeria;1989-01-01;351,000;75,900
Almeria;1990-01-01;415,000;76,130
Almeria;1991-01-01;365,000;76,720
Almeria;1992-01-01;332,000;77,110
Almeria;1993-01-01;387,000;76,880
Almeria;1994-01-01;364,000;77,580
Almeria;1995-01-01;376,000;77,730
Almeria;1996-01-01;422,000;77,170
Almeria;1997-01-01;407,000;77,610
Almeria;1998-01-01;435,000;77,990
Almeria;1999-01-01;515,000;77,820
Almeria;2000-01-01;491,000;78,460
Almeria;2001-01-01;452,000;78,330
Almeria;2002-01-01;496,000;77,950
Almeria;2003-01-01;600,000;78,360
Almeria;2004-01-01;490,000;78,830
Almeria;2005-01-01;573,000;78,750
Almeria;2006-01-01;481,000;79,470
Almeria;2007-01-01;583,000;79,520
Almeria;2008-01-01;573,000;79,950
Almeria;2009-01-01;489,000;80,230
Almeria;2010-01-01;507,000;80,960
Almeria;2011-01-01;536,000;80,790
Almeria;2012-01-01;590,000;81,030
Almeria;2013-01-01;551,000;81,580
Almeria;2014-01-01;536,000;81,820
Almeria;2015-01-01;626,000;81,110
Almeria;2016-01-01;522,000;81,700
Almeria;2017-01-01;613,000;81,750
Almeria;2018-01-01;679,000;81,140
Almeria;2019-01-01;541,000;81,930
Almeria;2020-01-01;518,000;81,200
Almeria;2021-01-01;458,000;80,610
Almeria;2022-01-01;495,000;81,310
Almeria;2023-01-01;564,000;81,810
Araba/Alava;1975-01-01;;72,990
Araba/Alava;1976-01-01;;73,120
Araba/Alava;1977-01-01;;74,060
Araba/Alava;1978-01-01;;73,430
Araba/Alava;1979-01-01;;74,490
Araba/Alava;1980-01-01;168,000;75,440
Araba/Alava;1981-01-01;183,000;76,670
Araba/Alava;1982-01-01;113,000;77,660
Araba/Alava;1983-01-01;142,000;76,950
Araba/Alava;1984-01-01;140,000;77,860
Araba/Alava;1985-01-01;179,000;77,570
Araba/Alava;1986-01-01;131,000;77,310
Araba/Alava;1987-01-01;139,000;77,780
Araba/Alava;1988-01-01;167,000;77,330
Araba/Alava;1989-01-01;191,000;77,940
Araba/Alava;1990-01-01;188,000;77,510
Araba/Alava;1991-01-01;173,000;77,830
Araba/Alava;1992-01-01;159,000;78,990
Araba/Alava;1993-01-01;186,000;78,990
Araba/Alava;1994-01-01;170,000;79,230
Araba/Alava;1995-01-01;173,000;79,000
Araba/Alava;1996-01-01;197,000;79,220
Araba/Alava;1997-01-01;181,000;79,880
Araba/Alava;1998-01-01;223,000;79,880
Araba/Alava;1999-01-01;245,000;79,870
Araba/Alava;2000-01-01;224,000;80,150
Araba/Alava;2001-01-01;206,000;80,600
Araba/Alava;2002-01-01;240,000;81,440
Araba/Alava;2003-01-01;230,000;81,220
Araba/Alava;2004-01-01;203,000;81,780
Araba/Alava;2005-01-01;287,000;80,850
Araba/Alava;2006-01-01;190,000;82,200
Araba/Alava;2007-01-01;206,000;81,920
Araba/Alava;2008-01-01;229,000;82,550
Araba/Alava;2009-01-01;223,000;82,350
Araba/Alava;2010-01-01;214,000;83,190
Araba/Alava;2011-01-01;224,000;83,040
Araba/Alava;2012-01-01;258,000;83,530
Araba/Alava;2013-01-01;276,000;83,360
Araba/Alava;2014-01-01;238,000;84,380
Araba/Alava;2015-01-01;277,000;83,490
Araba/Alava;2016-01-01;278,000;84,180
Araba/Alava;2017-01-01;307,000;83,890
Araba/Alava;2018-01-01;321,000;84,320
Araba/Alava;2019-01-01;334,000;84,760
Araba/Alava;2020-01-01;250,000;83,590
Araba/Alava;2021-01-01;164,000;84,310
Araba/Alava;2022-01-01;226,000;84,130
Araba/Alava;2023-01-01;212,000;85,070
Asturias;1975-01-01;;73,150
Asturias;1976-01-01;;73,370
Asturias;1977-01-01;;73,350
Asturias;1978-01-01;;74,110
Asturias;1979-01-01;;74,200
Asturias;1980-01-01;1157,000;74,420
Asturias;1981-01-01;1104,000;75,040
Asturias;1982-01-01;1039,000;75,130
Asturias;1983-01-01;1021,000;75,460
Asturias;1984-01-01;1006,000;75,570
Asturias;1985-01-01;1234,000;75,530
Asturias;1986-01-01;1090,000;76,000
Asturias;1987-01-01;1068,000;76,000
Asturias;1988-01-01;1015,000;76,000
Asturias;1989-01-01;1122,000;76,270
Asturias;1990-01-01;1260,000;76,080
Asturias;1991-01-01;1328,000;76,460
Asturias;1992-01-01;1167,000;77,100
Asturias;1993-01-01;1266,000;76,890
Asturias;1994-01-01;1217,000;77,570
Asturias;1995-01-01;1396,000;77,370
Asturias;1996-01-01;1324,000;77,590
Asturias;1997-01-01;1287,000;78,310
Asturias;1998-01-01;1328,000;78,360
Asturias;1999-01-01;1595,000;78,400
Asturias;2000-01-01;1473,000;78,790
Asturias;2001-01-01;1159,000;79,500
Asturias;2002-01-01;1471,000;79,520
Asturias;2003-01-01;1437,000;79,180
Asturias;2004-01-01;1277,000;79,840
Asturias;2005-01-01;1441,000;79,900
