Sexo;Provincias;Periodo;Total
Ambos sexos;02 Albacete;2023;83,61
Ambos sexos;02 Albacete;2022;82,99
Ambos sexos;02 Albacete;2021;83,21
Ambos sexos;02 Albacete;2020;81,36
Ambos sexos;02 Albacete;2019;83,31
Ambos sexos;02 Albacete;2018;83,36
Ambos sexos;02 Albacete;2017;83,47
Ambos sexos;02 Albacete;2016;83,14
Ambos sexos;02 Albacete;2015;82,87
Ambos sexos;02 Albacete;2014;82,66
Ambos sexos;02 Albacete;2013;82,84
Ambos sexos;02 Albacete;2012;82,65
Ambos sexos;02 Albacete;2011;82,43
Ambos sexos;02 Albacete;2010;82,65
Ambos sexos;02 Albacete;2009;81,81
Ambos sexos;02 Albacete;2008;81,84
Ambos sexos;02 Albacete;2007;81,58
Ambos sexos;02 Albacete;2006;81,55
Ambos sexos;02 Albacete;2005;80,87
Ambos sexos;02 Albacete;2004;81,11
Ambos sexos;02 Albacete;2003;80,20
Ambos sexos;02 Albacete;2002;80,62
Ambos sexos;02 Albacete;2001;80,37
Ambos sexos;02 Albacete;2000;79,94
Ambos sexos;02 Albacete;1999;80,09
Ambos sexos;02 Albacete;1998;79,13
Ambos sexos;02 Albacete;1997;79,46
Ambos sexos;02 Albacete;1996;78,88
Ambos sexos;02 Albacete;1995;79,18
Ambos sexos;02 Albacete;1994;78,44
Ambos sexos;02 Albacete;1993;77,69
Ambos sexos;02 Albacete;1992;78,03
Ambos sexos;02 Albacete;1991;77,62
Ambos sexos;02 Albacete;1990;78,33
Ambos sexos;02 Albacete;1989;77,32
Ambos sexos;02 Albacete;1988;77,38
Ambos sexos;02 Albacete;1987;77,23
Ambos sexos;02 Albacete;1986;76,84
Ambos sexos;02 Albacete;1985;76,46
Ambos sexos;02 Albacete;1984;76,55
Ambos sexos;02 Albacete;1983;75,95
Ambos sexos;02 Albacete;1982;76,27
Ambos sexos;02 Albacete;1981;75,53
Ambos sexos;02 Albacete;1980;75,38
Ambos sexos;02 Albacete;1979;74,55
Ambos sexos;02 Albacete;1978;74,34
Ambos sexos;02 Albacete;1977;73,80
Ambos sexos;02 Albacete;1976;73,64
Ambos sexos;02 Albacete;1975;73,13
Ambos sexos;03 Alicante/Alacant;2023;83,21
Ambos sexos;03 Alicante/Alacant;2022;82,62
Ambos sexos;03 Alicante/Alacant;2021;82,21
Ambos sexos;03 Alicante/Alacant;2020;82,42
Ambos sexos;03 Alicante/Alacant;2019;83,09
Ambos sexos;03 Alicante/Alacant;2018;82,69
Ambos sexos;03 Alicante/Alacant;2017;82,68
Ambos sexos;03 Alicante/Alacant;2016;82,85
Ambos sexos;03 Alicante/Alacant;2015;82,51
Ambos sexos;03 Alicante/Alacant;2014;82,66
Ambos sexos;03 Alicante/Alacant;2013;82,57
Ambos sexos;03 Alicante/Alacant;2012;81,99
Ambos sexos;03 Alicante/Alacant;2011;82,17
Ambos sexos;03 Alicante/Alacant;2010;82,09
Ambos sexos;03 Alicante/Alacant;2009;81,91
Ambos sexos;03 Alicante/Alacant;2008;81,26
Ambos sexos;03 Alicante/Alacant;2007;80,92
Ambos sexos;03 Alicante/Alacant;2006;80,85
Ambos sexos;03 Alicante/Alacant;2005;80,05
Ambos sexos;03 Alicante/Alacant;2004;80,08
Ambos sexos;03 Alicante/Alacant;2003;79,29
Ambos sexos;03 Alicante/Alacant;2002;79,29
Ambos sexos;03 Alicante/Alacant;2001;78,92
Ambos sexos;03 Alicante/Alacant;2000;78,89
Ambos sexos;03 Alicante/Alacant;1999;78,36
Ambos sexos;03 Alicante/Alacant;1998;78,77
Ambos sexos;03 Alicante/Alacant;1997;78,45
Ambos sexos;03 Alicante/Alacant;1996;78,23
Ambos sexos;03 Alicante/Alacant;1995;78,04
Ambos sexos;03 Alicante/Alacant;1994;77,72
Ambos sexos;03 Alicante/Alacant;1993;77,49
Ambos sexos;03 Alicante/Alacant;1992;77,39
Ambos sexos;03 Alicante/Alacant;1991;77,03
Ambos sexos;03 Alicante/Alacant;1990;76,43
Ambos sexos;03 Alicante/Alacant;1989;76,30
Ambos sexos;03 Alicante/Alacant;1988;76,18
Ambos sexos;03 Alicante/Alacant;1987;76,32
Ambos sexos;03 Alicante/Alacant;1986;76,21
Ambos sexos;03 Alicante/Alacant;1985;76,22
Ambos sexos;03 Alicante/Alacant;1984;76,30
Ambos sexos;03 Alicante/Alacant;1983;75,93
Ambos sexos;03 Alicante/Alacant;1982;75,68
Ambos sexos;03 Alicante/Alacant;1981;75,26
Ambos sexos;03 Alicante/Alacant;1980;75,03
Ambos sexos;03 Alicante/Alacant;1979;74,14
Ambos sexos;03 Alicante/Alacant;1978;73,68
Ambos sexos;03 Alicante/Alacant;1977;73,31
Ambos sexos;03 Alicante/Alacant;1976;73,24
Ambos sexos;03 Alicante/Alacant;1975;72,88
