Province;anio;pib
Araba/Alava;2000-01-01;22,134
Albacete;2000-01-01;12,032
Alicante/Alacant;2000-01-01;14,140
Almeria;2000-01-01;15,192
Avila;2000-01-01;12,532
Badajoz;2000-01-01;10,472
Illes Balears;2000-01-01;20,045
Barcelona;2000-01-01;19,380
Burgos;2000-01-01;17,824
Caceres;2000-01-01;10,520
Cadiz;2000-01-01;12,147
Castellon/Castello;2000-01-01;18,402
Ceuta;2000-01-01;13,367
Ciudad Real;2000-01-01;12,812
Cordoba;2000-01-01;10,749
A Coruna;2000-01-01;12,722
Cuenca;2000-01-01;12,123
Girona;2000-01-01;19,517
Granada;2000-01-01;10,604
Guadalajara;2000-01-01;14,406
Gipuzkoa;2000-01-01;20,046
Huelva;2000-01-01;13,036
Huesca;2000-01-01;16,215
Jaen;2000-01-01;10,432
Leon;2000-01-01;13,152
Lleida;2000-01-01;19,230
La Rioja;2000-01-01;17,965
Lugo;2000-01-01;11,835
Madrid;2000-01-01;21,177
Malaga;2000-01-01;11,778
Melilla;2000-01-01;13,350
Murcia;2000-01-01;13,679
Navarra;2000-01-01;20,562
Ourense;2000-01-01;11,159
Asturias;2000-01-01;13,279
Palencia;2000-01-01;14,571
Las Palmas;2000-01-01;15,521
Pontevedra;2000-01-01;12,672
Salamanca;2000-01-01;12,537
Santa Cruz de Tenerife;2000-01-01;14,398
Cantabria;2000-01-01;14,966
Segovia;2000-01-01;15,776
Sevilla;2000-01-01;12,121
Soria;2000-01-01;15,771
Tarragona;2000-01-01;20,226
Teruel;2000-01-01;17,137
Toledo;2000-01-01;13,063
Valencia;2000-01-01;15,276
Valladolid;2000-01-01;16,053
Bizkaia;2000-01-01;18,605
Zamora;2000-01-01;11,051
Zaragoza;2000-01-01;17,189
Araba/Alava;2001-01-01;23,917
Albacete;2001-01-01;13,175
Alicante/Alacant;2001-01-01;15,391
Almeria;2001-01-01;16,053
Avila;2001-01-01;13,069
Badajoz;2001-01-01;11,198
Illes Balears;2001-01-01;21,350
Barcelona;2001-01-01;20,798
Burgos;2001-01-01;18,608
Caceres;2001-01-01;11,333
Cadiz;2001-01-01;12,979
Castellon/Castello;2001-01-01;19,504
Ceuta;2001-01-01;13,813
Ciudad Real;2001-01-01;13,581
Cordoba;2001-01-01;11,378
A Coruna;2001-01-01;13,634
Cuenca;2001-01-01;12,932
Girona;2001-01-01;21,408
Granada;2001-01-01;11,482
Guadalajara;2001-01-01;15,921
Gipuzkoa;2001-01-01;21,983
Huelva;2001-01-01;13,366
Huesca;2001-01-01;17,992
Jaen;2001-01-01;11,288
Leon;2001-01-01;14,196
Lleida;2001-01-01;21,049
La Rioja;2001-01-01;19,093
Lugo;2001-01-01;12,924
Madrid;2001-01-01;22,875
Malaga;2001-01-01;13,067
Melilla;2001-01-01;13,708
Murcia;2001-01-01;14,704
Navarra;2001-01-01;21,747
Ourense;2001-01-01;12,300
Asturias;2001-01-01;14,340
Palencia;2001-01-01;15,669
Las Palmas;2001-01-01;16,700
Pontevedra;2001-01-01;13,611
Salamanca;2001-01-01;13,851
Santa Cruz de Tenerife;2001-01-01;15,530
Cantabria;2001-01-01;16,156
Segovia;2001-01-01;16,429
Sevilla;2001-01-01;13,142
Soria;2001-01-01;16,343
Tarragona;2001-01-01;21,970
