Province;Sexo;Periodo;Population
Albacete;Total;2021-01-01;386464
Albacete;Total;2020-01-01;388270
Albacete;Total;2019-01-01;388167
Albacete;Total;2018-01-01;388786
Albacete;Total;2017-01-01;390032
Albacete;Total;2016-01-01;392118
Albacete;Total;2015-01-01;394580
Albacete;Total;2014-01-01;396987
Albacete;Total;2013-01-01;400007
Albacete;Total;2012-01-01;402837
Albacete;Total;2011-01-01;402318
Albacete;Total;2010-01-01;401682
Albacete;Total;2009-01-01;400891
Albacete;Total;2008-01-01;397493
Albacete;Total;2007-01-01;392110
Albacete;Total;2006-01-01;387658
Albacete;Total;2005-01-01;384640
Albacete;Total;2004-01-01;379448
Albacete;Total;2003-01-01;376556
Albacete;Total;2002-01-01;371787
Albacete;Total;2001-01-01;367283
Albacete;Total;2000-01-01;363263
Alicante/Alacant;Total;2021-01-01;1881762
Alicante/Alacant;Total;2020-01-01;1879888
Alicante/Alacant;Total;2019-01-01;1858683
Alicante/Alacant;Total;2018-01-01;1838819
Alicante/Alacant;Total;2017-01-01;1825332
Alicante/Alacant;Total;2016-01-01;1836459
Alicante/Alacant;Total;2015-01-01;1855047
Alicante/Alacant;Total;2014-01-01;1868438
Alicante/Alacant;Total;2013-01-01;1945642
Alicante/Alacant;Total;2012-01-01;1943910
Alicante/Alacant;Total;2011-01-01;1934127
Alicante/Alacant;Total;2010-01-01;1926285
Alicante/Alacant;Total;2009-01-01;1917012
Alicante/Alacant;Total;2008-01-01;1891477
Alicante/Alacant;Total;2007-01-01;1825264
Alicante/Alacant;Total;2006-01-01;1783555
Alicante/Alacant;Total;2005-01-01;1732389
Alicante/Alacant;Total;2004-01-01;1657040
Alicante/Alacant;Total;2003-01-01;1632349
Alicante/Alacant;Total;2002-01-01;1557968
Alicante/Alacant;Total;2001-01-01;1490265
Alicante/Alacant;Total;2000-01-01;1445144
Almeria;Total;2021-01-01;731792
Almeria;Total;2020-01-01;727945
Almeria;Total;2019-01-01;716820
Almeria;Total;2018-01-01;709340
Almeria;Total;2017-01-01;706672
Almeria;Total;2016-01-01;704297
Almeria;Total;2015-01-01;701211
Almeria;Total;2014-01-01;701688
Almeria;Total;2013-01-01;699329
Almeria;Total;2012-01-01;704219
Almeria;Total;2011-01-01;702819
Almeria;Total;2010-01-01;695560
Almeria;Total;2009-01-01;684426
Almeria;Total;2008-01-01;667635
Almeria;Total;2007-01-01;646633
Almeria;Total;2006-01-01;635850
Almeria;Total;2005-01-01;612315
Almeria;Total;2004-01-01;580077
Almeria;Total;2003-01-01;565310
Almeria;Total;2002-01-01;546498
Almeria;Total;2001-01-01;533168
Almeria;Total;2000-01-01;518229
Araba/Alava;Total;2021-01-01;333626
Araba/Alava;Total;2020-01-01;333940
Araba/Alava;Total;2019-01-01;331549
Araba/Alava;Total;2018-01-01;328868
Araba/Alava;Total;2017-01-01;326574
Araba/Alava;Total;2016-01-01;324126
Araba/Alava;Total;2015-01-01;323648
Araba/Alava;Total;2014-01-01;321932
Araba/Alava;Total;2013-01-01;321417
Araba/Alava;Total;2012-01-01;322557
Araba/Alava;Total;2011-01-01;319227
Araba/Alava;Total;2010-01-01;317352
Araba/Alava;Total;2009-01-01;313819
Araba/Alava;Total;2008-01-01;309635
Araba/Alava;Total;2007-01-01;305459
Araba/Alava;Total;2006-01-01;301926
Araba/Alava;Total;2005-01-01;299957
Araba/Alava;Total;2004-01-01;295905
Araba/Alava;Total;2003-01-01;294360
Araba/Alava;Total;2002-01-01;291860
Araba/Alava;Total;2001-01-01;288793
Araba/Alava;Total;2000-01-01;286497
Asturias;Total;2021-01-01;1011792
Asturias;Total;2020-01-01;1018784
Asturias;Total;2019-01-01;1022800
Asturias;Total;2018-01-01;1028244
Asturias;Total;2017-01-01;1034960
Asturias;Total;2016-01-01;1042608
Asturias;Total;2015-01-01;1051229
Asturias;Total;2014-01-01;1061756
Asturias;Total;2013-01-01;1068165
Asturias;Total;2012-01-01;1077360
Asturias;Total;2011-01-01;1081487
Asturias;Total;2010-01-01;1084341
Asturias;Total;2009-01-01;1085289
Asturias;Total;2008-01-01;1080138
Asturias;Total;2007-01-01;1074862
Asturias;Total;2006-01-01;1076896
Asturias;Total;2005-01-01;1076635
Asturias;Total;2004-01-01;1073761
Asturias;Total;2003-01-01;1075381
Asturias;Total;2002-01-01;1073971
Asturias;Total;2001-01-01;1075329
Asturias;Total;2000-01-01;1076567
Avila;Total;2021-01-01;158421
Avila;Total;2020-01-01;157664
Avila;Total;2019-01-01;157640
Avila;Total;2018-01-01;158498
Avila;Total;2017-01-01;160700
Avila;Total;2016-01-01;162514
Avila;Total;2015-01-01;164925
Avila;Total;2014-01-01;167015
Avila;Total;2013-01-01;168825
Avila;Total;2012-01-01;171265
Avila;Total;2011-01-01;172704
Avila;Total;2010-01-01;171896
Avila;Total;2009-01-01;171680
Avila;Total;2008-01-01;171815
Avila;Total;2007-01-01;168638
Avila;Total;2006-01-01;167818
Avila;Total;2005-01-01;167032
Avila;Total;2004-01-01;166108
Avila;Total;2003-01-01;165480
Avila;Total;2002-01-01;165138
Avila;Total;2001-01-01;163885
Avila;Total;2000-01-01;164991
Badajoz;Total;2021-01-01;669943
Badajoz;Total;2020-01-01;672137
Badajoz;Total;2019-01-01;673559
Badajoz;Total;2018-01-01;676376
Badajoz;Total;2017-01-01;679884
Badajoz;Total;2016-01-01;684113
Badajoz;Total;2015-01-01;686730
Badajoz;Total;2014-01-01;690929
Badajoz;Total;2013-01-01;693729
Badajoz;Total;2012-01-01;694533
Badajoz;Total;2011-01-01;693921
Badajoz;Total;2010-01-01;692137
